book,[ buk ],书
dentist,['dentist],牙科医生
computer programmer,[kəm'pju:tə]['prəugræmə],计算机程序编制员
singer,['siŋə],歌手
post office,[pəust]['ɔfis],邮局
hospital,['hɔspitəl],医院
store,[stɔ:],商店
hotel,[həu'tel],旅馆
beauty shop,['bju:ti][ʃɔp],美容院
community,[kə'mju:niti],社区
building,['bildiŋ],建筑物
bank,[bæŋk],银行
grocery store,['grəusəri][stɔ:],杂货店
drugstore,['drʌgstɔ:],药店
bookstore,['bukstɔ:],书店
between,[bi'twi:n],在......中间
cinema,['sinəmə],电影院
bakery,['beikəri],面包房
park,[pɑ:k],公园
restaurant,['restərɔŋ],饭馆
zoo,[zu:],动物园
crossing,['krɔsiŋ],十字路口
forward,['fɔ:wəd],向前
city,['siti],城市
museum,[mju(:)'ziəm],博物馆
gallery,['gæləri],美术馆
university,"[,ju:ni'və:siti]",大学
stadium,['steidiəm],体育馆
square,[skwɛə],广场
street,[stri:t],街道
France,[frɑ:ns],法国
Japan,[dʒə'pæn],日本
Canada,['kænədə],加拿大
United States,[ju:'naitid][steits],美国
Australia,[ɔ'streiljə],澳大利亚
China,['tʃainə],中国
United Kingdom,[ju:'naitid]['kiŋdəm],英国
Toronto,[tə'rɔntəu],多伦多
Paris,['pæris],巴黎
Tokyo,['təukjəu],东京
cherry blossom,['tʃeri]['blɔsəm],樱花
Disneyland,"['dizni,lænd]",迪斯尼乐园
London,['lʌndən],伦敦
Big Ben,,大本钟
Sydney,['sidni],悉尼
opera house,['ɔpərə][haus],歌剧院
beach,[bi:tʃ],海滩
swim,[swim],游泳
vacation,[vei'keiʃən],假期
train,[trein],火车
Thailand,['tailənd],泰国
plane,[plein],飞机
Tibet,[ti'bet],西藏
car,[kɑ:],小汽车
ship,[ʃip],轮船
bus,[bʌs],公共汽车
hobby,['hɔbi],业余爱好
sew,[səu],缝补
knit,[nit],编织
travel,['trævl],旅行
hike,[haik],徒步旅行
communication,"[kə,mju:ni'keiʃən]",交流，联络
mailbox,['meilbɔks],邮筒
his,[hiz;iz],他的
her,[hə:; ə:¸hə¸ ə],她的
their,[ðɛə¸ ðər],他(她它)们的
blond,[blɔnd],金黄色的
curly,['kə:li],卷曲的
slim,[slim],苗条的
straight,[streit],直的
talkative,['tɔ:kətiv],多嘴的:健谈的
honest,['ɔnist],诚实的
careless,['kɛəlis],粗心的
popular,['pɔpjulə],受欢迎的
shy,[ʃai],害羞的
lazy,['leizi],懒惰的
quiet,['kwaiət],文静的
helpful,['helpful],乐于助人的
friendly,['frendli],友善的
funny,['fʌni],有趣的:滑稽好笑的
than,[ðæn; ðən¸ ðn],比:比较
short,[ʃɔ:t],短的:矮的
old,[əuld],年长的:旧的
long,[lɔŋ],长的
small,[smɔ:l],小的
fast,[fa:st],快的:快地
hard,[ha:d],努力地:刻苦地
pretty,['priti],漂亮的
ugly,['ʌgli],丑陋的
thick,[θik],厚的
thin,[θin],薄的:瘦的
notebook,['nəutbuk],笔记本
stapler,['steiplə],订书机
disk,[disk],磁盘
whiteout,['waitaut],涂改液
backpack,['bækpæk],背包
brush,[brʌʃ],毛笔
folder,['fəuldə],文件夹
sticker,['stikə],不干胶贴片
expensive,[iks'pensiv],昂贵的
cheap,[tʃi:p],便宜的
these,[ði:z],这些
fit,[fit],适合
oil,[ɔil],油
bowl,[bəul],碗
plate,[pleit],盘子
wok,[wɔk],锅
wash,[wɔʃ],洗
crack,[kræk],敲碎
mix,[miks],混合
put,[pʌt],放:摆
add,[æd],加
salt,[sɔ:lt],盐
serve,[sə:v],将(饭菜)摆上桌
cucumber,['kju:kʌmbə],黄瓜
soy sauce,[sɔɪ],酱油
sauce,[sɔ:s],酱:调味料
vinegar,['vinigə],醋
sugar,['ʃugə],糖
pepper,['pepə],(胡椒)粉
children,['tʃildrən],儿童
show,[ʃəu],节目
report,[ri'pɔ:t],报告
entertainment,[entə'teinmənt],娱乐节目
nature,['neitʃə],自然
commercial,[kə'mə:ʃəl],电影
movie,['mu:vi],广告
channel,['tʃænl],频道
schedule,['ʃedju:l; 'skedʒjul],时间表:进度表
comedy,['kɔmidi],喜剧
video,['vidiəu],电视:录象
action,['ækʃən],动作片
once,[wʌns],一次
twice,[twais],两次
never,['nevə],从未
tomorrow,[tə'mɔrəu¸ tu'mɔrəu],明天
tired,['taiəd],疲劳的:疲倦的
sleep,[sli:p],睡眠
before,[bi'fɔ:],在...之前
drink,[drɪŋk],喝
exercise,['eksəsaiz],锻炼
pop,[pɔp],汽水
should,[ʃud¸ ʃəd¸ ʃd],应该
headache,['hedeɪk],头痛
sleepy,['sli:pi],困的
stomachache,['stʌməkeɪk],胃痛:肚子痛
toothache,['tu:θeɪk],牙痛
more,[mɔ:(r)] [mɔ:],更多的
candy,['kændi],糖果
medicine,['medsin¸ -disin],药
visit,['vizit],访问:拜访
last,[la:st],上一个:刚过去的
stay,[stei],在某处呆着
row,[rau],划(船)
yesterday,['jestədi],昨天
wonderful,['wʌndəful],奇妙的:好极了
lose,[lu:z],丢失
sleep,[sli:p],睡觉
terrible,['terəbl],可怕的
buy,[bai],买
souvenir,['su:vəniə],纪念品
ride,[raid],骑
teach,[ti:tʃ],讲授:教
meet,[mi:t],会见:遇到
whole,[həul],完全的:全部的
noisy,['nɔizi],吵闹的
rhyme,[raim],押韵的诗
become,[bi'kʌm],成为
prize,[praiz],奖:奖励
competition,[kɔmpi'tiʃən],竞争:竞赛
province,['prɔvins],省
east,[i:st],东方:东
south,[sauθ],南:南方
west,[west],西方:西
north,[nɔ:θ],北:北
Tibet,[ti'bet],西藏
silk,[silk],丝绸
continent,['kɔntinənt],大陆:洲
Asia,['eiʃə],亚洲
Europe,['juərəp],欧洲
Africa,['æfrikə],非洲
Oceania,[¸əuʃi'einiə],大洋洲
Egypt,['i:dʒɪpt],埃及
Spain,[spein],西班牙
Thailand,['tailænd],泰国
Australia,[ɔs'treiljə],澳洲:澳大利亚
Russia,['rʌʃə],俄罗斯
Chinese,['tʃai'ni:z],汉语
French,[frentʃ],法语
Russian,['rʌʃən],俄语
Japanese,[dʒæpə'ni:z],日语
pyramid,['pirəmid],金字塔
koala,[kəu'a:lə],树袋熊
kangaroo,[¸kæŋgə'ru:],袋鼠
reptile,['reptail],爬行动物
mammal,['mæməl],哺乳动物
insect,['insekt],昆虫
crocodile,['krɔkədail],鳄鱼
ostrich,[' ɔstritʃ],鸵鸟
penguin,['peŋgwin],企鹅
whale,[weil¸ hw-],鲸
shark,[ʃa:k],鲨鱼
hippo,['hipəu],河马
zebra,['zi:brə¸ 'zebrə] ['zi:brə],斑马
lion,['laiən],狮子
butterfly,['bʌtəflai],蝴蝶
hummingbird,['hʌmɪŋb:d],蜂鸟
centimeter,['sentɪmi:tər(r)],厘米
giraffe,[dʒi'ra:f],长颈鹿 鹿
meter,['mi:tə],米
kilometer,['kiləmi:tə],千米:公里
strong,[strɔŋ],强壮的
wing,[wiŋ],翅膀
ton,[tʌn],吨
heavy,['hi:vi],重的
surprised,,惊讶的
angry,['æŋgri],生气的
happy,['hæpi],快乐的:高兴的
worried,['wʌrid],忧愁的
sad,[sæd],伤心的
excited,[ik'saitid],兴奋的
nervous,['nə:vəs],紧张的
proud,[praud],骄傲的
artist,['a:tist],艺术家:画家
actor,['æktə],演员
musician,[mju:'ziʃən],音乐家
writer,['raitə],作家
scientist,['saiəntist],科学家
inventor,[ɪn'ventə(r)],发明家
Chinese,['tʃai'ni:z],中国人
German,['dʒə:mən],德国人
Danish,['deiniʃ],丹麦人
English,['iŋgliʃ],英格兰人
American,[ə'merikən],美国人
compose,[kəm'pəuz],写作:创作(乐曲、歌剧等)
shrimp,[ʃrimp],虾
invent,[in'vent],发明
astronaut,['æstrənɔ:t],宇航员
detective,[di'tektiv],侦探
professor,[prə'fesə],教授
president,['prezidənt],(学院的)院长
